FECHA (YYMMDD);HORA (HHMM);;
260410;0100;79,5975;
260410;0200;81,7667;
260410;0300;82,8417;
260410;0400;84,5333;
260410;0500;84,55;
260410;0600;83,8167;
260410;0700;83,6083;
260410;0800;81,5417;
260410;0900;79,7808;
260410;1000;78,1625;
260410;1100;72,8809;
260410;1200;67,1324;
260410;1300;67,7426;
260410;1400;67,265;
260410;1500;59,2117;
260410;1600;64,6825;
260410;1700;70,3068;
260410;1800;75,2942;
260410;1900;76,0958;
260410;2000;77,2117;
260410;2100;78,2343;
260410;2200;76,4192;
260410;2300;64,5625;
260411;0000;59,0775;
260411;0100;61,9533;
260411;0200;56,1467;
260411;0300;57,9242;
260411;0400;50,5783;
260411;0500;51,6433;
260411;0600;52,5758;
260411;0700;53,1383;
260411;0800;51,0533;
260411;0900;48,1208;
260411;1000;44,0408;
260411;1100;44,38;
260411;1200;53,1625;
260411;1300;60,8142;
260411;1400;74,1818;
260411;1500;80,825;
260411;1600;78,3442;
260411;1700;76,0125;
260411;1800;87,0601;
260411;1900;89,1583;
260411;2000;86,2333;
260411;2100;84,0699;
260411;2200;78,4583;
260411;2300;82,65;
260412;0000;85,9167;
260412;0100;86,825;
260412;0200;83,7333;
260412;0300;80,0975;
260412;0400;80,3817;
260412;0500;77,3383;
260412;0600;73,0658;
260412;0700;72,3558;
260412;0800;63,6992;
260412;0900;61,5375;
260412;1000;64,1158;
260412;1100;59,4092;
260412;1200;51,8225;
260412;1300;48,6125;
260412;1400;48,7783;
260412;1500;49,2033;
260412;1600;50,5125;
260412;1700;56,7508;
260412;1800;61,6142;
260412;1900;64,4475;
260412;2000;68,5033;
260412;2100;70,0325;
260412;2200;71,355;
260412;2300;72,4325;
260413;0000;71,5908;
260413;0100;75,5817;
260413;0200;76,7817;
260413;0300;75,895;
260413;0400;74,1058;
260413;0500;72,7657;
260413;0600;70,2892;
260413;0700;70,9408;
260413;0800;71,455;
260413;0900;63,0392;
260413;1000;60,6358;
260413;1100;49,8767;
260413;1200;41,99;
260413;1300;40,4517;
260413;1400;43,6792;
260413;1500;48,7258;
260413;1600;56,5492;
260413;1700;66,2375;
260413;1800;69,0842;
260413;1900;71,2233;
260413;2000;73,1176;
260413;2100;66,8975;
260413;2200;73,345;
260413;2300;83,5442;
260414;0000;93,2833;
260414;0100;94,7584;
260414;0200;94,9417;
260414;0300;95,5167;
260414;0400;87,55;
260414;0500;67,2917;
260414;0600;70,8142;
260414;0700;79,5858;
260414;0800;74,5026;
260414;0900;73,8733;
260414;1000;67,5017;
260414;1100;53,6617;
260414;1200;49,9425;
260414;1300;46,4483;
260414;1400;44,2525;
260414;1500;43,39;
260414;1600;49,3967;
260414;1700;59,1625;
260414;1800;73,3517;
260414;1900;74,6758;
260414;2000;68,7742;
260414;2100;71,1967;
260414;2200;69,6233;
260414;2300;66,01;
260415;0000;64,5658;
260415;0100;64,2975;
260415;0200;64,7308;
260415;0300;66,1858;
260415;0400;67,3776;
260415;0500;68,7584;
260415;0600;68,6407;
260415;0700;74,8783;
260415;0800;68,9484;
260415;0900;61,9458;
260415;1000;51,4575;
260415;1100;40,7308;
260415;1200;37,3625;
260415;1300;36,4517;
260415;1400;34,2625;
260415;1500;34,435;
260415;1600;37,4575;
260415;1700;45,9292;
260415;1800;55,6483;
260415;1900;59,8933;
260415;2000;63,4042;
260415;2100;63,9925;
260415;2200;65,7267;
260415;2300;68,295;
260416;0000;71,9442;
260416;0100;71,76;
260416;0200;77,5925;
260416;0300;81,3492;
260416;0400;83,05;
260416;0500;85,1167;
260416;0600;84,1;
260416;0700;83,2583;
260416;0800;81,0308;
260416;0900;71,3892;
260416;1000;62,7383;
260416;1100;57,4717;
260416;1200;58,9292;
260416;1300;68,0782;
260416;1400;66,0175;
260416;1500;77,1434;
260416;1600;81,6692;
260416;1700;84,7917;
260416;1800;82,205;
260416;1900;71,0734;
260416;2000;59,2175;
260416;2100;63,175;
260416;2200;65,6359;
260416;2300;67,8134;
260417;0000;71,8018;
260417;0100;77,3483;
260417;0200;80,425;
260417;0300;70,395;
260417;0400;69,96;
260417;0500;70,4775;
260417;0600;70,7476;
