FECHA (YYMMDD);HORA (HHMM);;
150216;1700;4,39999;
150216;1800;3,4;
150216;1900;2,4;
150216;2000;1,7;
150216;2100;1,2;
150216;2200;1,5;
150216;2300;1,3;
150217;0000;1,7;
150217;0100;1,3;
150217;0200;2;
150217;0300;1,9;
150217;0400;1,6;
150217;0500;1,6;
150217;0600;1,9;
150217;0700;1,7;
150217;0800;2,8;
150217;0900;4,1;
150217;1000;5,5;
150217;1100;6,8;
150217;1200;6,2;
150217;1300;5,7;
150217;1400;6,1;
150217;1500;6,1;
150217;1600;5,8;
150217;1700;3,5;
150217;1800;3,9;
150217;1900;2,5;
150217;2000;3,5;
150217;2100;1,4;
150217;2200;1,3;
150217;2300;2,1;
150218;0000;2,5;
150218;0100;2,8;
150218;0200;1,7;
150218;0300;1,1;
150218;0400;1,3;
150218;0500;1;
150218;0600;0,9;
150218;0700;1;
150218;0800;2,2;
150218;0900;4,1;
150218;1000;4,5;
150218;1100;4,6;
150218;1200;5,89999;
150218;1300;6;
150218;1400;6,5;
150218;1500;6,39999;
150218;1600;5,8;
150218;1700;5,7;
150218;1800;4,89999;
150218;1900;4;
150218;2000;4,2;
150218;2100;3,6;
150218;2200;4;
150218;2300;4,89999;
150219;0000;3,8;
150219;0100;1,4;
150219;0200;1,8;
150219;0300;1,2;
150219;0400;1,4;
150219;0500;1,7;
150219;0600;1,3;
150219;0700;1;
150219;0800;2,6;
150219;0900;3;
150219;1000;2;
150219;1100;4;
150219;1200;3,6;
150219;1300;2,9;
150219;1400;3,1;
150219;1500;4,5;
150219;1600;4,2;
150219;1700;3,2;
150219;1800;2,3;
150219;1900;1,7;
150219;2000;2,1;
150219;2100;2,1;
150219;2200;1,9;
150219;2300;1,7;
150220;0000;1,7;
150220;0100;1,3;
150220;0200;1,7;
150220;0300;1,5;
150220;0400;1,3;
150220;0500;1,6;
150220;0600;1,7;
150220;0700;1,8;
150220;0800;1,8;
150220;0900;1,5;
150220;1000;1,6;
150220;1100;2,3;
150220;1200;2,5;
